timestamp	vehicle_id	pack_voltage_V	pack_current_A	soc_pct	soh_pct	temp_cell_avg_C	temp_cell_max_C	temp_ambient_C	cycle_count	charging_status	energy_kwh	internal_resistance_mohm	anomaly_flag
5/18/2026 0:00	EV-PACK-001	383.13	-0.24	85	94	21.92	23.7	21.15	312	idle	0.016	17.609	normal
5/18/2026 0:10	EV-PACK-001	380.72	-1.49	85	94.02	21.62	25.9	20.85	312	idle	0.11	18.02	normal
5/18/2026 0:20	EV-PACK-001	382.55	-1.09	85	94	20.54	24.53	21.26	312	idle	0.18	17.985	normal
5/18/2026 0:30	EV-PACK-001	381.77	1.88	85	94.01	20.46	22.55	20.72	312	idle	0.299	18.16	normal
5/18/2026 0:40	EV-PACK-001	385.21	0.73	85	94.01	21.02	23.5	21.31	312	idle	0.346	17.756	normal
5/18/2026 0:50	EV-PACK-001	380.74	-1.48	85	94.01	21.14	24.65	21.73	312	idle	0.44	18.224	normal
5/18/2026 1:00	EV-PACK-001	382.18	1.22	85	94.01	21.14	24.68	20.91	312	idle	0.518	18.068	normal
5/18/2026 1:10	EV-PACK-001	382.95	1.15	85	93.99	20.24	24.09	21.36	312	idle	0.591	17.86	normal
5/18/2026 1:20	EV-PACK-001	380.7	-1.54	85	94	22.13	25.32	21.28	312	idle	0.689	17.901	normal
5/18/2026 1:30	EV-PACK-001	383.19	0.24	85	94	21.56	24.37	21.83	312	idle	0.704	18.259	normal
5/18/2026 1:40	EV-PACK-001	380.62	-1.06	85	93.99	21.46	23.84	21.02	312	idle	0.772	18.209	normal
5/18/2026 1:50	EV-PACK-001	381.54	0.66	85	93.99	22.27	24.27	21.87	312	idle	0.813	17.893	normal
5/18/2026 2:00	EV-PACK-001	381.3	-0.15	85	94.01	21.36	23.31	21.34	312	idle	0.823	18.136	normal
5/18/2026 2:10	EV-PACK-001	381.88	-0.79	85	93.98	20.73	22.5	22.05	312	idle	0.874	17.605	normal
5/18/2026 2:20	EV-PACK-001	381.43	0.8	85	93.98	23.54	27.38	22.47	312	idle	0.924	18.223	normal
5/18/2026 2:30	EV-PACK-001	381.49	-1.61	85	94	23.09	25.2	22.34	312	idle	1.027	18.133	normal
5/18/2026 2:40	EV-PACK-001	382.11	1.43	85	94.03	21.98	24.78	22.34	312	idle	1.118	18.009	normal
5/18/2026 2:50	EV-PACK-001	382.27	-1.66	85	94.01	22.97	25.95	22.72	312	idle	1.224	18.253	normal
5/18/2026 3:00	EV-PACK-001	381.04	0.35	85	94.01	23.06	26.3	23.78	312	idle	1.246	17.59	normal
5/18/2026 3:10	EV-PACK-001	380.48	1.83	85	94.06	23.49	25.24	23.16	312	idle	1.362	18.602	normal
5/18/2026 3:20	EV-PACK-001	378.8	0.29	85	93.99	23.93	26.43	23.71	312	idle	1.381	17.878	normal
5/18/2026 3:30	EV-PACK-001	382.24	1.31	85	93.99	23.6	26.76	23.67	312	idle	1.464	17.501	normal
5/18/2026 3:40	EV-PACK-001	382.2	0.91	85	93.98	24.79	29.03	23.96	312	idle	1.522	17.648	normal
5/18/2026 3:50	EV-PACK-001	380.77	-0.52	85	94.01	24.57	27.02	23.88	312	idle	1.554	18.283	normal
5/18/2026 4:00	EV-PACK-001	381.02	-0.98	85	93.97	24.82	26.46	24.42	312	idle	1.616	17.636	normal
5/18/2026 4:10	EV-PACK-001	382.24	0.99	85	94	24.8	27.86	24.85	312	idle	1.68	18.396	normal
5/18/2026 4:20	EV-PACK-001	382.64	-0.51	85	93.97	26.09	28.37	24.84	312	idle	1.712	17.637	normal
5/18/2026 4:30	EV-PACK-001	381.73	1.32	85	93.98	25.9	29.2	26.15	312	idle	1.796	17.672	normal
5/18/2026 4:40	EV-PACK-001	381.99	1.89	85	94	25.88	27.42	25.93	312	idle	1.916	18.426	normal
5/18/2026 4:50	EV-PACK-001	381.93	-1.51	85	93.99	25.61	28.85	26.22	312	idle	2.013	17.741	normal
5/18/2026 5:00	EV-PACK-001	382.05	0.96	85	94.01	26.3	28.7	26.65	312	idle	2.073	18.305	normal
5/18/2026 5:10	EV-PACK-001	380.96	-0.85	85	93.98	27.01	30.18	27.15	312	idle	2.128	18.058	normal
5/18/2026 5:20	EV-PACK-001	385.78	-0.32	85	93.97	28.35	32.64	26.83	312	idle	2.149	17.919	normal
5/18/2026 5:30	EV-PACK-001	383.81	-1.93	85	93.99	26.29	30.18	26.79	312	idle	2.272	17.361	normal
5/18/2026 5:40	EV-PACK-001	385.32	1.47	85	94	26.5	29.12	26.86	312	idle	2.366	18.342	normal
5/18/2026 5:50	EV-PACK-001	385.19	-0.18	85	94.06	25.79	29.53	26.82	312	idle	2.378	18.556	normal
5/18/2026 6:00	EV-PACK-001	382.38	107.55	84.89	94.01	33.64	36.07	27.41	312	drive	9.233	17.932	normal
5/18/2026 6:10	EV-PACK-001	381.57	82.78	84.81	94	31.15	32.71	28.52	312	drive	14.497	17.926	normal
5/18/2026 6:20	EV-PACK-001	383.16	107.29	84.7	94	33.28	35.74	28.33	312	drive	21.349	18.022	normal
5/18/2026 6:30	EV-PACK-001	381.42	63.48	84.64	93.98	33.08	36.3	28.55	312	drive	25.384	18.122	normal
